Signature,Accuracy,AUC,95% CI,Sensitivity,Specificity,PPV,NPV,Survival,Cohort
risk,0.990228013029316,0.9962374581939812,0.9905 - 1.0000,0.9899665518730216,0.9999998750000157,0.9999999966216216,0.7272726611570308,1-year,Training
risk,0.8933333333333333,0.8379629629629619,0.5956 - 1.0000,0.9027777652391977,0.6666664444445185,0.9848484699265384,0.22222219753086697,1-year,Internal
risk,0.891156462585034,0.9007092198581539,0.7701 - 1.0000,0.8936170149388865,0.8333331944444675,0.9921259764399529,0.2499999875000006,1-year,External A
risk,0.7948717948717948,0.8881578947368425,0.7121 - 1.0000,0.7894736738227148,0.99999950000025,0.9999999833333336,0.11111110493827195,1-year,External B
risk,0.990909090909091,0.9974999999999996,0.9925 - 1.0000,0.98999999505,0.9999999500000024,0.999999994949495,0.9090908677685968,2-year,Training
risk,0.8870967741935484,0.8943452380952381,0.7798 - 1.0000,0.8928571269132657,0.8333331944444675,0.9803921376393699,0.4545454132231443,2-year,Internal
risk,0.6666666666666666,0.8442513368983957,0.7592 - 0.9294,0.6022727204287192,0.999999941176474,0.9999999811320759,0.3269230706360948,2-year,External A
risk,0.7272727272727273,0.8269230769230766,0.6676 - 0.9863,0.7115384478550298,0.9999996666667778,0.9999999729729737,0.1666666574074079,2-year,External B
risk,0.6923076923076923,0.7727272727272729,0.5145 - 1.0000,0.636363578512402,0.99999950000025,0.9999998571428775,0.33333327777778704,2-year,External C
risk,0.9627329192546584,0.9903329752953813,0.9788 - 1.0000,0.9548872108655098,0.9999999642857155,0.9999999921259843,0.8235293875432533,3-year,Training
risk,0.9285714285714286,0.9212962962962963,0.8061 - 1.0000,0.9444444182098773,0.8333331944444675,0.9714285436734702,0.7142856122449125,3-year,Internal
risk,0.7441860465116279,0.8650345260514753,0.7907 - 0.9394,0.6271186334386673,0.9999999629629643,0.9999999729729737,0.5510203969179511,3-year,External A
risk,0.7222222222222222,0.796875,0.6426 - 0.9511,0.6874999785156257,0.9999997500000625,0.9999999545454565,0.2857142653061239,3-year,External B
risk,0.8571428571428571,1.0,1.0000 - 1.0000,0.6666664444445185,0.9999997500000625,0.99999950000025,0.799999840000032,3-year,External C
risk,0.9439252336448598,0.9837301587301586,0.9622 - 1.0000,0.9444444313271607,0.9428571159183682,0.9714285575510206,0.8918918677867064,4-year,Training
risk,0.8275862068965517,0.9000000000000001,0.7536 - 1.0000,0.799999960000002,0.8888887901234679,0.9411764152249167,0.6666666111111158,4-year,Internal
risk,0.7922077922077922,0.8415147265077139,0.7550 - 0.9280,0.6521738988657848,0.9999999677419364,0.9999999666666678,0.6595744540516074,4-year,External A
risk,0.7333333333333333,0.78,0.5302 - 1.0000,0.599999940000006,0.99999980000004,0.9999998333333611,0.5555554938271674,4-year,External B
